,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,Interval,Label MA
294,2019-04-13 06:00:00.000,2019-04-13 07:00:00.000,2019-04-13 06:00:00.000,2019-04-13 06:59:59.720,5120.6909248,5679.6,5025.86,5109.523,3963.027634238,5697,5,3.5865384615384617
295,2019-04-13 07:00:00.000,2019-04-13 08:00:00.000,2019-04-13 07:00:00.000,2019-04-13 07:59:59.000,5679.27,5685.86,5054.33195355,5112.63556425,3064.920263578,5473,5,3.5784313725490198
296,2019-04-13 08:00:00.000,2019-04-13 09:00:00.000,2019-04-13 08:00:01.895,2019-04-13 08:59:59.000,5093.39,5669.19,5023.71609,5087.96902573,3380.420757707,5874,5,3.606060606060606
297,2019-04-13 09:00:00.000,2019-04-13 10:00:00.000,2019-04-13 09:00:00.961,2019-04-13 09:59:59.000,5109.59,5650.0,5038.00563989,5077.48,2362.366470743,4524,6,3.6288659793814433
298,2019-04-13 10:00:00.000,2019-04-13 11:00:00.000,2019-04-13 10:00:00.000,2019-04-13 10:59:57.000,5119.1,5653.35,4958.0,5083.2,2908.741726354,6790,6,3.625
299,2019-04-13 11:00:00.000,2019-04-13 12:00:00.000,2019-04-13 11:00:00.000,2019-04-13 11:59:59.583,5083.7,5635.88,4961.0,5059.0779999999995,2585.048751967,5251,6,3.6666666666666665
300,2019-04-13 12:00:00.000,2019-04-13 13:00:00.000,2019-04-13 12:00:00.000,2019-04-13 12:59:57.869,5084.6,5648.16,5014.72,5072.57,2803.087893375,5336,6,3.6595744680851063
301,2019-04-13 13:00:00.000,2019-04-13 14:00:00.000,2019-04-13 13:00:00.000,2019-04-13 13:59:59.000,5079.68,5648.82,5000.0,5079.62,2420.769507627,5151,6,3.6555555555555554
302,2019-04-13 14:00:00.000,2019-04-13 15:00:00.000,2019-04-13 14:00:00.200,2019-04-13 14:59:59.372,5078.56,5673.67,5014.68,5100.61,2542.073409868,6102,6,3.6292134831460676
303,2019-04-13 15:00:00.000,2019-04-13 16:00:00.000,2019-04-13 15:00:00.000,2019-04-13 15:59:59.000,5158.0,5676.94,5038.64772261,5117.0,2958.15841894,6756,6,3.5977011494252875
304,2019-04-13 16:00:00.000,2019-04-13 17:00:00.000,2019-04-13 16:00:00.000,2019-04-13 16:59:59.993,5117.0,5656.83,5037.41,5083.13,2287.8286096429997,6111,6,3.5952380952380953
305,2019-04-13 17:00:00.000,2019-04-13 18:00:00.000,2019-04-13 17:00:00.285,2019-04-13 17:59:59.160,5083.13,5668.47,5039.54001,5098.62,2613.582262149,5709,6,3.5903614457831323
306,2019-04-13 18:00:00.000,2019-04-13 19:00:00.000,2019-04-13 18:00:00.693,2019-04-13 18:59:59.970,5099.0,5668.31,5045.1,5091.0,2200.637965497,5408,6,3.5853658536585367
307,2019-04-13 19:00:00.000,2019-04-13 20:00:00.000,2019-04-13 19:00:00.789,2019-04-13 19:59:58.855,5091.01,5660.78,5041.22407349,5081.67,2323.635998752,5461,6,3.58974358974359
308,2019-04-13 20:00:00.000,2019-04-13 21:00:00.000,2019-04-13 20:00:00.000,2019-04-13 20:59:59.177,5115.51567072,5658.56,5000.0,5085.59,2387.911987773,5853,6,3.5903614457831323
309,2019-04-13 21:00:00.000,2019-04-13 22:00:00.000,2019-04-13 21:00:00.247,2019-04-13 21:59:58.297,5084.4,5650.09,5010.48015243,5076.22,2924.712264689,7283,6,3.6097560975609757
310,2019-04-13 22:00:00.000,2019-04-13 23:00:00.000,2019-04-13 22:00:00.000,2019-04-13 22:59:59.243,5074.63,5642.52,5019.10057305,5067.2,2220.5215505379997,5412,6,3.6
311,2019-04-13 23:00:00.000,2019-04-14 00:00:00.000,2019-04-13 23:00:02.000,2019-04-13 23:59:59.000,5104.2,5651.49,5027.18,5074.33967016,2119.085495102,5268,6,3.576923076923077
312,2019-04-14 00:00:00.000,2019-04-14 01:00:00.000,2019-04-14 00:00:00.000,2019-04-14 00:59:59.895,5064.0,5646.62,5021.4322,5076.99,2053.998391054,4520,6,3.569620253164557
313,2019-04-14 01:00:00.000,2019-04-14 02:00:00.000,2019-04-14 01:00:00.000,2019-04-14 01:59:59.167,5151.12287905,53000.098,4900.0,5072.95,2058.770559947,5093,6,3.5569620253164556
314,2019-04-14 02:00:00.000,2019-04-14 03:00:00.000,2019-04-14 02:00:00.000,2019-04-14 02:59:59.860,5110.64827884,5646.71,4900.0,5051.215999999999,2327.343418054,5180,6,3.6103896103896105
315,2019-04-14 03:00:00.000,2019-04-14 04:00:00.000,2019-04-14 03:00:00.000,2019-04-14 03:59:59.965,5094.3,5631.52,5016.1,5054.59,2390.160629005,4596,6,3.5822784810126582
316,2019-04-14 04:00:00.000,2019-04-14 05:00:00.000,2019-04-14 04:00:00.201,2019-04-14 04:59:58.817,5054.59,5630.14,5014.43,5058.25,2658.808040749,4506,6,3.607594936708861
317,2019-04-14 05:00:00.000,2019-04-14 06:00:00.000,2019-04-14 05:00:00.374,2019-04-14 05:59:59.000,5058.09,5621.95,4985.84164625,5082.348322999999,3422.6094059829998,6392,6,3.58974358974359
318,2019-04-14 06:00:00.000,2019-04-14 07:00:00.000,2019-04-14 06:00:00.000,2019-04-14 06:59:59.000,5082.348322999999,5611.03,5001.65451509,5068.5,3003.96374181,4942,6,3.5949367088607596
319,2019-04-14 07:00:00.000,2019-04-14 08:00:00.000,2019-04-14 07:00:00.000,2019-04-14 07:59:59.000,5080.76488198,5636.84,5013.25,5061.39,2429.227768746,4522,6,3.6025641025641026
320,2019-04-14 08:00:00.000,2019-04-14 09:00:00.000,2019-04-14 08:00:01.000,2019-04-14 08:59:59.000,5099.66833818,5636.72,5024.20041,5205.12898509,2051.5701804779997,3737,6,3.6184210526315788
321,2019-04-14 09:00:00.000,2019-04-14 10:00:00.000,2019-04-14 09:00:00.000,2019-04-14 09:59:59.000,5074.85839221,5641.82,5033.94806059,5073.76929089,2132.515855222,3990,7,3.6025641025641026
322,2019-04-14 10:00:00.000,2019-04-14 11:00:00.000,2019-04-14 10:00:00.000,2019-04-14 10:59:57.000,5102.3,5646.05,5033.95143691,5069.14124166,1803.799761404,3946,7,3.6025641025641026
323,2019-04-14 11:00:00.000,2019-04-14 12:00:00.000,2019-04-14 11:00:00.000,2019-04-14 11:59:59.682,5110.0,5640.83,5026.19448,5063.0,1680.631174424,4126,7,3.5714285714285716
324,2019-04-14 12:00:00.000,2019-04-14 13:00:00.000,2019-04-14 12:00:00.000,2019-04-14 12:59:59.000,5100.91349508,5639.05,5013.33,5070.13428888,2257.0624304000003,4783,7,3.6164383561643834
325,2019-04-14 13:00:00.000,2019-04-14 14:00:00.000,2019-04-14 13:00:00.000,2019-04-14 13:59:59.381,5105.44130148,5650.24,5025.49,5075.39,2593.00980028,5138,7,3.6133333333333333
326,2019-04-14 14:00:00.000,2019-04-14 15:00:00.000,2019-04-14 14:00:02.449,2019-04-14 14:59:59.000,5075.5,5645.62,5020.77,5071.66635406,2277.4055346620003,4868,7,3.6142857142857143
327,2019-04-14 15:00:00.000,2019-04-14 16:00:00.000,2019-04-14 15:00:00.000,2019-04-14 15:59:59.511,5108.8,5648.03,5029.0,5080.0,2313.040702083,5228,7,3.6142857142857143
328,2019-04-14 16:00:00.000,2019-04-14 17:00:00.000,2019-04-14 16:00:00.000,2019-04-14 16:59:58.500,5130.0,5673.75,5041.65478,5078.29,2864.673073805,6328,7,3.591549295774648
329,2019-04-14 17:00:00.000,2019-04-14 18:00:00.000,2019-04-14 17:00:02.234,2019-04-14 17:59:57.800,5081.7,5662.85,5041.68478,5093.41,2285.639582798,4784,7,3.6216216216216215
330,2019-04-14 18:00:00.000,2019-04-14 19:00:00.000,2019-04-14 18:00:00.000,2019-04-14 18:59:59.274,5093.8030195,5671.97,5036.48001,5110.0,2359.3450787429997,5458,7,3.585714285714286
331,2019-04-14 19:00:00.000,2019-04-14 20:00:00.000,2019-04-14 19:00:00.600,2019-04-14 19:59:59.447,5110.0,5676.21,5050.53001,5088.25,2075.682570539,5217,7,3.5555555555555554
