time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-05-03T06:00:00.0000000Z,2019-05-03T07:00:00.0000000Z,2019-05-03T06:00:01.0000000Z,2019-05-03T06:59:59.1200000Z,5829.4,6117.65,5427.54,5464.43,6750.870913466,13091
2019-05-03T07:00:00.0000000Z,2019-05-03T08:00:00.0000000Z,2019-05-03T07:00:01.0000000Z,2019-05-03T07:59:59.0000000Z,5868.08968594,6152.19,5343,5583.15,5645.023290093,11726
2019-05-03T08:00:00.0000000Z,2019-05-03T09:00:00.0000000Z,2019-05-03T08:00:00.0000000Z,2019-05-03T08:59:59.0000000Z,5926,6276.16,5344,5679.2,11412.093860114,20414
2019-05-03T09:00:00.0000000Z,2019-05-03T10:00:00.0000000Z,2019-05-03T09:00:00.0000000Z,2019-05-03T09:59:59.6210000Z,6029.4,6357.88,5468,5782.46,11626.645565562,22956
2019-05-03T10:00:00.0000000Z,2019-05-03T11:00:00.0000000Z,2019-05-03T10:00:00.0000000Z,2019-05-03T10:59:59.6840000Z,6130.06817408,6350.82,5213.79244,5676.99,9742.872216146,17032
2019-05-03T11:00:00.0000000Z,2019-05-03T12:00:00.0000000Z,2019-05-03T11:00:00.0000000Z,2019-05-03T11:59:59.9690000Z,5663,7087.1018,5416,5820.669,5839.608299956,11521
2019-05-03T12:00:00.0000000Z,2019-05-03T13:00:00.0000000Z,2019-05-03T12:00:00.7490000Z,2019-05-03T12:59:58.6880000Z,5697.24,6309.34,5250,5847.986,4550.929316471,9596
2019-05-03T13:00:00.0000000Z,2019-05-03T14:00:00.0000000Z,2019-05-03T13:00:01.4760000Z,2019-05-03T13:59:57.9910000Z,5712.32,7248.199,5435,5738.74,5655.747854313,12173
2019-05-03T14:00:00.0000000Z,2019-05-03T15:00:00.0000000Z,2019-05-03T14:00:00.9670000Z,2019-05-03T14:59:59.1350000Z,5743.1,6338,5438,5723.98,6921.398784473,13129
2019-05-03T15:00:00.0000000Z,2019-05-03T16:00:00.0000000Z,2019-05-03T15:00:00.1400000Z,2019-05-03T15:59:59.4240000Z,5723.98,6301.93,5554.938340184424,5844.233,5465.926687244,12096
2019-05-03T16:00:00.0000000Z,2019-05-03T17:00:00.0000000Z,2019-05-03T16:00:00.0000000Z,2019-05-03T16:59:59.1860000Z,5713.69,6293.92,5557.17379,5690.98,3794.46131551,9513
2019-05-03T17:00:00.0000000Z,2019-05-03T18:00:00.0000000Z,2019-05-03T17:00:00.0130000Z,2019-05-03T17:59:58.0200000Z,5815.476,6269.08,5457,5670.744,6151.299364721,14369
2019-05-03T18:00:00.0000000Z,2019-05-03T19:00:00.0000000Z,2019-05-03T18:00:00.0000000Z,2019-05-03T18:59:59.0620000Z,6005.6,6268.21,5528.68011,5694.4,4251.416911152,8703
2019-05-03T19:00:00.0000000Z,2019-05-03T20:00:00.0000000Z,2019-05-03T19:00:00.7310000Z,2019-05-03T19:59:57.6800000Z,5690.92,6262.73,5578.00001,5677.612,3144.653660534,7417
2019-05-03T20:00:00.0000000Z,2019-05-03T21:00:00.0000000Z,2019-05-03T20:00:00.0000000Z,2019-05-03T20:59:58.0000000Z,6033.6,6278.11,5539.36283,5691.01665915,4262.952625615,9118
2019-05-03T21:00:00.0000000Z,2019-05-03T22:00:00.0000000Z,2019-05-03T21:00:00.0000000Z,2019-05-03T21:59:59.8170000Z,6055,6256.8,5600,5694,3828.81916724,8222
2019-05-03T22:00:00.0000000Z,2019-05-03T23:00:00.0000000Z,2019-05-03T22:00:00.0000000Z,2019-05-03T22:59:58.4700000Z,5681.0360735,6240.55,5474.54654,5675.5,3893.488472424,8339
2019-05-03T23:00:00.0000000Z,2019-05-04T00:00:00.0000000Z,2019-05-03T23:00:02.0000000Z,2019-05-03T23:59:59.2250000Z,5703.17889425,6219.24,5515.22333,5771.5,2707.995043342,6983
2019-05-04T00:00:00.0000000Z,2019-05-04T01:00:00.0000000Z,2019-05-04T00:00:00.6400000Z,2019-05-04T00:59:58.0000000Z,5657.5,6277.66,5537.04589,5736.18,5368.069311605,12635
2019-05-04T01:00:00.0000000Z,2019-05-04T02:00:00.0000000Z,2019-05-04T01:00:01.0000000Z,2019-05-04T01:59:59.0000000Z,6095.1,6335.22,5537.58734,6318.5,5845.493462975,13914
2019-05-04T02:00:00.0000000Z,2019-05-04T03:00:00.0000000Z,2019-05-04T02:00:00.0000000Z,2019-05-04T02:59:58.9700000Z,6149.1,6316.82,5625.30932,5765,4790.798511554,10675
2019-05-04T03:00:00.0000000Z,2019-05-04T04:00:00.0000000Z,2019-05-04T03:00:00.3000000Z,2019-05-04T03:59:59.8190000Z,5765,6298.45,5547.0801,5740.9,4072.100988043,8502
2019-05-04T04:00:00.0000000Z,2019-05-04T05:00:00.0000000Z,2019-05-04T04:00:00.0000000Z,2019-05-04T04:59:58.0000000Z,6105.7524062,6265.34,5550.22013,5707.47,6462.092738346,10745
2019-05-04T05:00:00.0000000Z,2019-05-04T06:00:00.0000000Z,2019-05-04T05:00:00.0000000Z,2019-05-04T05:59:59.6340000Z,6057.1,6244.76,4003.0001,5705,3068.965114357,6889
2019-05-04T06:00:00.0000000Z,2019-05-04T07:00:00.0000000Z,2019-05-04T06:00:00.0000000Z,2019-05-04T06:59:59.8160000Z,6055.2,6258.68,5500.00002,5730,2612.55491404,6394
2019-05-04T07:00:00.0000000Z,2019-05-04T08:00:00.0000000Z,2019-05-04T07:00:00.0770000Z,2019-05-04T07:59:57.6570000Z,5726.75,6284.79,5397,5739.09,2582.474446092,5612
2019-05-04T08:00:00.0000000Z,2019-05-04T09:00:00.0000000Z,2019-05-04T08:00:00.0000000Z,2019-05-04T08:59:59.4350000Z,5744.43,8190,5538.4314503,5733.66,2481.415583711,4917
2019-05-04T09:00:00.0000000Z,2019-05-04T10:00:00.0000000Z,2019-05-04T09:00:00.0000000Z,2019-05-04T09:59:58.0000000Z,5733.71,6788.8962,5401,5718.4706739,2153.583290486,4564
2019-05-04T10:00:00.0000000Z,2019-05-04T11:00:00.0000000Z,2019-05-04T10:00:00.4950000Z,2019-05-04T10:59:58.0000000Z,5734.04,6257.54,5556.66995775,6050.1,2117.360178144,5546
2019-05-04T11:00:00.0000000Z,2019-05-04T12:00:00.0000000Z,2019-05-04T11:00:00.3430000Z,2019-05-04T11:59:58.6980000Z,5715.31,6268.89,5558.87137364,5725.71,2236.396776997,4752
2019-05-04T12:00:00.0000000Z,2019-05-04T13:00:00.0000000Z,2019-05-04T12:00:00.0000000Z,2019-05-04T12:59:58.0000000Z,5616.11787,6257.39,5570.81317161,5609.75954441,2557.171325139,6176
2019-05-04T13:00:00.0000000Z,2019-05-04T14:00:00.0000000Z,2019-05-04T13:00:00.0000000Z,2019-05-04T13:59:59.7050000Z,5712.38,6244.24,5500,5570.55,7636.139321393,17764
