"time_period_start","time_period_end","time_open","time_close","price_open","price_high","price_low","price_close","volume_traded","trades_count"
"2019-04-19T02:00:00.0000000Z","2019-04-19T03:00:00.0000000Z","2019-04-19T02:00:00.0000000Z","2019-04-19T02:59:59.0000000Z","5217.61","5870.4","5158.00001","5241.0","3661.782670698","8366"
"2019-04-19T03:00:00.0000000Z","2019-04-19T04:00:00.0000000Z","2019-04-19T03:00:00.0000000Z","2019-04-19T03:59:59.6800000Z","5240.9","5801.12","5150.0","5232.0","2911.251844007","5945"
"2019-04-19T04:00:00.0000000Z","2019-04-19T05:00:00.0000000Z","2019-04-19T04:00:00.0320000Z","2019-04-19T04:59:59.0000000Z","5236.3","5808.4","5154.0","5258.70906228","2464.36176476","4790"
"2019-04-19T05:00:00.0000000Z","2019-04-19T06:00:00.0000000Z","2019-04-19T05:00:00.0000000Z","2019-04-19T05:59:59.0000000Z","5261.9","5808.89","5155.0","5241.99519858","2279.976375439","4307"
"2019-04-19T06:00:00.0000000Z","2019-04-19T07:00:00.0000000Z","2019-04-19T06:00:00.7190000Z","2019-04-19T06:59:59.0000000Z","5244.23","5810.1","5150.0","5270.1","2512.439899085","4102"
"2019-04-19T07:00:00.0000000Z","2019-04-19T08:00:00.0000000Z","2019-04-19T07:00:00.0000000Z","2019-04-19T07:59:57.0000000Z","5270.133663","5815.97","5200.0","5247.45","3200.10149387","6146"
"2019-04-19T08:00:00.0000000Z","2019-04-19T09:00:00.0000000Z","2019-04-19T08:00:00.2720000Z","2019-04-19T08:59:59.8330000Z","5249.99","5821.12","5172.1","5262.0","2429.709047334","4621"
"2019-04-19T09:00:00.0000000Z","2019-04-19T10:00:00.0000000Z","2019-04-19T09:00:00.0000000Z","2019-04-19T09:59:59.5490000Z","5276.45796464","5830.57","5178.8806","5257.23","2245.822446203","3925"
"2019-04-19T10:00:00.0000000Z","2019-04-19T11:00:00.0000000Z","2019-04-19T10:00:00.7900000Z","2019-04-19T10:59:57.0000000Z","5253.678","5824.76","5181.0","5284.8","2369.698177284","3712"
"2019-04-19T11:00:00.0000000Z","2019-04-19T12:00:00.0000000Z","2019-04-19T11:00:00.0000000Z","2019-04-19T11:59:59.3590000Z","5284.11267048","5833.67","5222.0","5257.48","2053.305004427","4149"
"2019-04-19T12:00:00.0000000Z","2019-04-19T13:00:00.0000000Z","2019-04-19T12:00:01.0000000Z","2019-04-19T12:59:57.0000000Z","5829.18","5829.81","5201.55289534","5302.58662289","2643.782546956","4866"
"2019-04-19T13:00:00.0000000Z","2019-04-19T14:00:00.0000000Z","2019-04-19T13:00:00.0000000Z","2019-04-19T13:59:57.8800000Z","5299.00743795","5821.6","5206.59347528","5251.01","2140.939799251","4491"
"2019-04-19T14:00:00.0000000Z","2019-04-19T15:00:00.0000000Z","2019-04-19T14:00:00.0280000Z","2019-04-19T14:59:59.5200000Z","5250.76","5815.69","5211.31370556","5245.601","2475.838867562","5319"
"2019-04-19T15:00:00.0000000Z","2019-04-19T16:00:00.0000000Z","2019-04-19T15:00:00.0000000Z","2019-04-19T15:59:58.2120000Z","5268.20949545","5853.45","5210.0","5282.8","3482.90076551","7388"
"2019-04-19T16:00:00.0000000Z","2019-04-19T17:00:00.0000000Z","2019-04-19T16:00:00.0000000Z","2019-04-19T16:59:59.9840000Z","5279.347","5912.95","5154.904892004743","5280.9","6301.483002571","13376"
"2019-04-19T17:00:00.0000000Z","2019-04-19T18:00:00.0000000Z","2019-04-19T17:00:00.0350000Z","2019-04-19T17:59:55.1380000Z","5278.3","5852.06","5182.0","5278.27","2933.277697759","6568"
"2019-04-19T18:00:00.0000000Z","2019-04-19T19:00:00.0000000Z","2019-04-19T18:00:01.0000000Z","2019-04-19T18:59:58.0000000Z","5183.0","5866.97","5180.0","5319.0","2947.160624004","6004"
